style,description
2-step garage,a chaotic style of UK garage .
20th-century classical music,a loose term for orchestral music made during or after the 20th century.
4-beat,a breakbeat hardcore style played between 150 and 170 BPM consisting of a fast looped breakbeat and a drum at every 4 beats.
A cappella,a style of music performed without any background music/instruments and just voices doing the instrumentation.
Absolute music,"music that is not explicitly ""about"" anything."
Acid house,"a psychedelic style of house music , defined primarily by the deep basslines and ""squelching"" sounds of the Roland TB-303 electronic synthesizer-sequencer."
Acid jazz,"a psychedelic music genre that combines elements of jazz , soul music , funk , and disco ."
Acid rock,"a harder style of psychedelic rock , characterized by long instrumental solos, few (if any) lyrics and musical improvisation ."
Acid techno,a style of techno that developed out of acid house .
Acid trance,a psychedelic style of trance music .
Acousmatic music,a style of electroacoustic music that is specifically composed for presentation using speakers as opposed to a live performance.
Acoustic music,"a music that solely or primarily uses instruments which produce sound through entirely acoustic means, as opposed to electric or electronic means."
Adult contemporary music,any music with lush and soothing qualities that focuses on melody and harmony.
African-American music,any music made by African-Americans.
African heavy metal,heavy metal music performed by African musicians.
African hip hop,hip hop music performed by African musicians.
Afrobeat,a large-scaled and energetic combination of funk and jazz .
Afrobeats,umbrella term for West African pop styles.
Afro-Cuban jazz,style of jazz influenced by traditional Afro-Cuban music.
Afro house,"a South African , sub-genre of house music , developed  between the 1980s and 1990s."
Afroswing,"a genre of music that developed in the UK during the mid-2010s, a derivative of dancehall and afrobeats , with influences from trap , hip hop , R&B , and grime ."
Afro tech,a sub-genre of afro house originating and predominantly made in South Africa.
African popular music,"an umbrella term, "" afro pop "", for all the various, African genres of African Music ."
Aguinaldo,traditional Latin American Christmas music .
Aleatoric music,music the composition of which is partially left to chance.
Alternative country,"any style of country music that deviates from the normal, usually by incorporating elements found in alternative rock (particularly its personal lyrics)."
Alternative dance,a fusion of alternative rock and post-disco ; usually contains alternative rock song structures and post-disco beats.
Alternative hip hop,"any style of hip hop music that deviates from the norm, usually by possessing lyrics not usually found in mainstream hip hop as well as musically combining it with other genres; despite its popularity among alternative rock fans, only some alternative rappers actually fuse hip hop with that genre."
Alternative metal,"any style of heavy metal music that deviates from the norm, usually by incorporating elements found in alternative rock (particularly its melodic vocals). Many alternative metal bands also tend to either have funk or hip hop music influences."
Alternative R&B,"any style of contemporary R&B that deviates from the norm, usually by having a more electronic influence. Originally a synonymous term for neo soul , alternative R&B (which now only refers to styles originating from the 2000s), alternative R&B tries to expand beyond the conventions of genres altogether."
Alternative reggaeton,any style of reggaeton that deviates from the norm.
Alternative rock,"any style of rock music that deviates from the norm, usually by having melodic vocals and personal lyrics; often applied to styles that sprang out following the initial punk rock music scene."
Ambient music,a style of incredibly slow electronic music that uses long repetitive sounds to generate a sense of calm and atmosphere.
Ambient house,a style of house music that contains the atmospheric musical textures of ambient music .
Ambient pop,a style of dream pop with heavy ambient influence that developed in the 1980s.
Ambient techno,a fusion of techno and ambient music .
Ambrosian chant,plainsong used during the Ambrosian rite.
American folk music,folk music developed in the United States.
American folk-music revival,"a musical revival of American folk music that occurred from the 1940s through the 1960s, resulting in contemporary folk music ."
Americana,music that invokes the musical ethos of the United States (i.e. roots rock ).
Anarcho-punk,punk rock with anarchist themes.
Ancient music,music created in the early stages of literate cultures.
Anglican chant,plainsong used by the Anglican church.
Anatolian rock,a style of folk rock that fuses Turkish folk music with rock music .
Anti-folk,"a mocking style of folk that subverts the earnest, politically-informed lyrics of folk-revivalists ."
Apala,Nigerian music originally used by the Yoruba people to wake worshippers after fasting during Ramadan.
Appalachian music,American folk music originated from the Appalachia region that later became the basis for old-time music and country music .
Arabesque,an Arabic style of music created in Turkey.
Arabic pop music,pop music informed by traditional Arabic styles.
Arena rock,any style of rock music inherently designed for large audiences (i.e. an arena); largely used as a pejorative label rather than as a description for an actual genre of rock.
Argentine rock,rock music performed by Argentinian musicians.
Armenian chant,chants used in the liturgy of the Armenian Apostolic Church .
Ars antiqua,"European music from the Late Middle Ages, which advanced concepts of rhythm."
Ars nova,"a style of French music from the Late Middle Ages, rejected fiercely by the Catholic Church."
Ars subtilior,a style of French music from the Late Middle Ages.
Art pop,pop music made purposefully to bring the genre to artistic heights.
Art punk,punk rock made purposefully to bring the genre to artistic heights; sometimes considered a style of post-punk .
Art rock,rock music made purposefully to bring the genre to artistic heights.
Ashik,"music performed by mystic or traveling Turkish, Azerbaijan, Georgian, Armenian, and Iranian bands, using vocals and the saz, performed since ancient times."
Assyrian folk/pop music,"pop , folk and dance music informed by traditional Assyrian styles."
Atlanta hip-hop,hip-hop music in the music scene of Atlanta .
Australian country music,country music performed by Australian musicians.
Australian hip hop,hip hop music performed by Australian musicians.
Avant-funk,an avant-garde style of funk made purposefully to challenge the conventions of the genre.
Avant-garde music,"music considered to be ahead of its time, often using new, unusual, or experimental elements, or fusing pre-existing genres."
Avant-garde jazz,"an avant-garde style of jazz made purposefully to challenge the conventions of the genre; related and originally synonymous with free jazz , avant-garde jazz still maintains some form of structure and uses composed melodies."
Avant-garde metal,an avant-garde style of heavy metal music made purposefully to challenge the conventions of the genre.
Avant-pop,"any avant-garde form of popular music that is experimental, new, and distinct from previous styles while retaining an immediate accessibility for the listener."
Avant-prog,"a style that appeared in the late 1970s as the extension of progressive rock , chiefly by being a fusion of its two subgenres: Rock in Opposition and the Canterbury scene ."
Avant-punk,punk rock made purposefully to challenge the conventions of the genre.
